symbol,name,T0,entry_date,peak_date,entry_close,T0_close,peak_close,return_pct,vol_ratio
7705.TW,三商餐飲,2025-09-18,2025-09-18,,43.35,43.35,43.6,0.58,
2109.TW,華豐,2025-11-19,2025-11-19,,15.25,15.25,15.4,0.98,
4541.TWO,晟田,2026-03-10,2026-03-10,,40.1,40.1,45.2,12.72,
6240.TWO,松崗,2025-09-26,2025-09-26,,18.1,18.1,19.15,5.8,
6292.TWO,迅德,2025-08-28,2025-08-28,,41.45,41.45,41.5,0.12,
6922.TWO,宸曜,2025-11-20,2025-11-20,,180.5,180.5,187.0,3.6,
4129.TWO,聯合,2025-08-26,2025-08-26,,111.0,111.0,118.0,6.31,
1717.TW,長興,2025-10-17,2025-10-17,,39.05,39.05,42.8,9.6,
6577.TWO,勁豐,2025-09-01,2025-09-01,,74.2,74.2,75.4,1.62,
6649.TWO,台生材,2025-12-08,2025-12-08,,49.2,49.2,49.3,0.2,
7556.TWO,意德士科技,2025-12-19,2025-12-19,,163.0,163.0,169.5,3.99,
3224.TWO,三顧,2026-01-16,2026-01-16,,46.4,46.4,47.05,1.4,
4166.TWO,友霖,2025-11-13,2025-11-13,,24.6,24.6,25.1,2.03,
6613.TWO,朋億*,2025-12-18,2025-12-18,,191.0,191.0,208.5,9.16,
2504.TW,國產,2025-09-26,2025-09-26,,36.1,36.1,36.4,0.83,
9921.TW,巨大,2026-04-17,2026-04-17,,69.2,69.2,75.9,9.68,
6733.TWO,博晟生醫,2025-11-18,2025-11-18,,37.75,37.75,39.9,5.7,
2368.TW,金像電,2025-09-12,2025-09-12,,487.0,487.0,469.0,-3.7,
2432.TW,倚天酷碁-創,2025-09-24,2025-09-24,,27.55,27.55,28.5,3.45,
2752.TWO,豆府,2025-10-14,2025-10-14,,203.5,203.5,204.5,0.49,
