symbol,name,T0,entry_date,peak_date,entry_close,T0_close,peak_close,return_pct,vol_ratio
3576.TW,聯合再生,2026-02-06,2026-01-27,2026-03-03,11.1,15.9,26.7,140.54,6.75
6715.TW,嘉基,2026-02-25,2026-02-06,2026-03-18,146.0,175.5,330.0,126.03,3.25
2231.TW,為升,2025-08-18,2025-08-14,2025-09-10,72.6,86.5,147.5,103.17,10.31
2485.TW,兆赫,2026-03-10,2026-02-23,2026-03-19,40.4,50.3,80.1,98.27,3.1
3167.TW,大量,2026-03-16,2026-03-10,2026-04-09,294.0,367.0,576.0,95.92,3.08
6753.TW,龍德造船,2025-08-27,2025-08-14,2025-09-10,111.5,147.0,203.5,82.51,9.31
3048.TW,益登,2025-08-29,2025-08-14,2025-09-05,25.8,38.25,46.95,81.98,3.76
6405.TW,悅城,2026-04-28,2026-04-14,2026-05-08,35.4,42.1,64.4,81.92,5.22
4976.TW,佳凌,2025-08-26,2025-08-14,2025-09-04,31.75,39.75,57.5,81.1,10.53
3026.TW,禾伸堂,2026-04-09,2026-04-07,2026-05-06,152.0,183.5,273.0,79.61,3.6
8110.TW,華東,2025-11-07,2025-10-28,2025-11-13,23.9,28.85,42.1,76.15,3.54
2413.TW,環科,2025-12-15,2025-12-02,2025-12-30,27.55,33.25,48.1,74.59,3.01
7750.TW,新代,2026-04-23,2026-03-26,2026-04-23,1290.0,2240.0,2240.0,73.64,3.09
2486.TW,一詮,2026-04-10,2026-03-30,2026-04-29,146.5,185.5,253.5,73.04,3.05
2451.TW,創見,2025-11-12,2025-10-23,2025-11-13,131.0,196.5,216.0,64.89,3.7
5521.TW,工信,2025-12-12,2025-11-25,2025-12-23,14.8,18.6,23.1,56.08,3.61
4950.TWO,金耘國際,2025-11-19,2025-10-21,2025-11-11,10.45,21.75,26.3,151.67,5.01
6265.TWO,方土昶,2026-01-02,2025-12-26,2026-01-22,24.2,33.45,53.5,121.07,5.26
4973.TWO,廣穎電通,2026-03-12,2026-02-06,2026-03-18,41.75,61.1,89.3,113.89,3.15
6217.TWO,中探針,2026-04-07,2026-03-10,2026-04-09,103.0,200.0,215.0,108.74,3.06
